prompt,pinky_id,pinky_task,pinky_response,table_id
3 테이블 생일 기념 사진 촬영 3번 핑키,3,birthday,3번 테이블에서 생일 기념 사진을 촬영합니다 📸,3
4 테이블 생일 축하 풍선 달아줘 4번 핑키,4,birthday,4번 테이블에 축하 풍선을 달아드리겠습니다 🎈,4
5 테이블 깜짝 생일 축하 준비 1번 핑키,1,birthday,5번 테이블에 깜짝 생일 축하를 준비합니다 🎊,5
6 테이블 생일 선물 준비 2번 핑키,2,birthday,6번 테이블에 생일 선물을 준비하겠습니다 🎁,6
7 테이블 생일 초 켜줘 3번 핑키,3,birthday,7번 테이블 케이크에 초를 켜겠습니다 🕯️,7
8 테이블 생일 이벤트 시작해 4번 핑키,4,birthday,8번 테이블의 생일 이벤트를 시작합니다 🎉,8
9 테이블 생일 축하 인사 1번 핑키,1,birthday,9번 테이블에 축하 인사를 드리겠습니다 🌟,9
10 테이블 생일 디저트 서빙 2번 핑키,2,birthday,10번 테이블에 디저트를 서빙하겠습니다 🍰,10
1번 핑키 1 테이블 생일 장식 완성,1,birthday,1번 테이블 생일 장식을 완성했습니다 🎀,1
2번 핑키 2 테이블 축하 메시지 전달,2,birthday,2번 테이블에 축하 메시지를 전달합니다 💌,2
3번 핑키 3 테이블 생일 케이크 준비,3,birthday,3번 테이블 케이크를 준비하겠습니다 🎂,3
4번 핑키 4 테이블 파티 준비 완료,4,birthday,4번 테이블 파티 준비를 완료했습니다 🎉,4
1번 핑키 5 테이블 생일 기념사진 찍기,1,birthday,5번 테이블에서 기념사진을 찍겠습니다 📸,5
2번 핑키 6 테이블 풍선 세팅,2,birthday,6번 테이블에 풍선을 세팅하겠습니다 🎈,6
3번 핑키 7 테이블 축하 이벤트 진행,3,birthday,7번 테이블 축하 이벤트를 진행합니다 🎊,7
4번 핑키 8 테이블 케이크 촛불 준비,4,birthday,8번 테이블 케이크에 촛불을 준비합니다 🕯️,8
1번 핑키 9 테이블 생일 노래 틀어줘,1,birthday,9번 테이블 생일 노래를 틀어드릴게요 🎶,9
2번 핑키 10 테이블 생일 축하 시작,2,birthday,10번 테이블 생일 축하를 시작합니다 🎉,10
핑키들, 지금 매장에 화재 발생!,"",emergency,화재 발생 인지! 손님 대피를 즉시 유도하겠습니다 🚨,""
2번 핑키, 매장에 연기 나!,2,emergency,매장 연기 확인! 손님들을 안전하게 안내하겠습니다 🚒,""
1번 핑키, 가스 누출 같아!,1,emergency,가스 누출 의심! 빠르게 대응하겠습니다 🛑,""
3번 핑키, 전기 문제 발생!,3,emergency,전기 이상 감지! 바로 복구 조치하겠습니다 ⚡,""
핑키들, 손님이 넘어졌어!,"",emergency,손님 부상 인지! 구급 키트를 준비하겠습니다 🚑,""
4번 핑키, 매장에 물이 새!,4,emergency,물 새는 곳을 확인하고 즉시 조치하겠습니다 💧,""
2번 핑키, 대피 방송 시작해,2,emergency,대피 방송을 시작하여 손님들을 안전하게 안내하겠습니다 📢,""
핑키들, 화재 경보 울렸어!,"",emergency,화재 경보 확인! 손님 안전을 최우선으로 대피 안내하겠습니다 🚒,""
1번 핑키, 응급 상황 발생!,1,emergency,응급 상황 대응을 즉시 시작하겠습니다 🏥,""
3번 핑키, 매장 긴급 정전!,3,emergency,긴급 정전 발생! 손님 안전 확보를 우선하겠습니다 💡,""
2 테이블 화재 발견 1번 핑키,1,emergency,2번 테이블 화재 확인! 손님 대피 안내하겠습니다 🚨,2
5 테이블 손님이 다쳤어 3번 핑키,3,emergency,5번 테이블 부상자 대응 준비 완료했습니다 🚑,5
6 테이블 물이 새고 있어 4번 핑키,4,emergency,6번 테이블 주변 물 새는 곳을 조치하겠습니다 💦,6
7 테이블 전기 스파크 발생 2번 핑키,2,emergency,7번 테이블 전기 문제 즉시 대응하겠습니다 ⚡,7
8 테이블 화재 위험 발견 핑키들,"",emergency,8번 테이블 화재 위험 인지! 즉시 대피 안내하겠습니다 🚨,8
9 테이블 가스 냄새가 나 3번 핑키,3,emergency,9번 테이블 가스 냄새 확인! 긴급 조치합니다 🛑,9
10 테이블 주변 물기 발생 4번 핑키,4,emergency,10번 테이블 물기 제거 및 안내 진행합니다 💧,10
1 테이블 손님 의식 잃음 1번 핑키,1,emergency,1번 테이블 응급 구조 요청합니다 🏥,1
2 테이블 긴급 구조 요청 2번 핑키,2,emergency,2번 테이블 긴급 구조를 요청했습니다 🚑,2
3 테이블 매장 전원 나감 3번 핑키,3,emergency,3번 테이블 주변 전원 이상 대응합니다 💡,3
4 테이블 주변 화재 감지 4번 핑키,4,emergency,4번 테이블 주변 화재 대응을 시작합니다 🚒,4
5 테이블 손님 대피 안내 핑키들,"",emergency,5번 테이블 손님을 안전하게 대피 안내하겠습니다 📢,5
6 테이블 주변 물 난리 1번 핑키,1,emergency,6번 테이블 주변 물기를 긴급 정리하겠습니다 💧,6
7 테이블 불꽃 튐 2번 핑키,2,emergency,7번 테이블 불꽃 발생 대응 시작합니다 🔥,7
8 테이블 가스 경고 울림 3번 핑키,3,emergency,8번 테이블 가스 경고 확인! 긴급 대응합니다 🛑,8
9 테이블 손님 넘어짐 4번 핑키,4,emergency,9번 테이블 손님 부상 응급 처치하겠습니다 🚑,9
10 테이블 긴급 사태 발생 핑키들,"",emergency,10번 테이블 긴급 사태 대응을 시작합니다 🆘,10
1번 핑키, 매장 가스 경보 울림,1,emergency,가스 경보 확인! 손님을 안전하게 대피시킵니다 🛑,""
2번 핑키, 화재 위험 신호 감지,2,emergency,화재 신호 확인! 긴급 대피 절차 시작합니다 🚒,""
3번 핑키, 매장 물기 심함,3,emergency,물기 많은 구역 긴급 정리 시작하겠습니다 💧,""
4번 핑키, 전력 차단 발생,4,emergency,전력 차단 확인! 손님 안전 확보 먼저 진행합니다 💡,""
핑키들, 매장 화재 진압 시도,"",emergency,화재 진압을 시도하며 손님 대피를 병행하겠습니다 🚒,""
1 테이블 주변 불꽃 감지 1번 핑키,1,emergency,1번 테이블 주변 불꽃을 긴급 진압하겠습니다 🔥,1
2 테이블 가스 누출 2번 핑키,2,emergency,2번 테이블 가스 누출 조치하겠습니다 🛑,2
3 테이블 소화기 사용 3번 핑키,3,emergency,3번 테이블 소화기를 사용해 진압하겠습니다 🧯,3
4 테이블 전기 스파크 발견 4번 핑키,4,emergency,4번 테이블 전기 문제 긴급 대응합니다 ⚡,4
5 테이블 손님 심정지 발생 핑키들,"",emergency,5번 테이블 손님 긴급 심폐소생술 시작합니다 🏥,5
6 테이블 구조 요청 1번 핑키,1,emergency,6번 테이블 구조 요청 신속 대응합니다 🚑,6
7 테이블 응급 조치 2번 핑키,2,emergency,7번 테이블 응급 조치 실시합니다 🏥,7
8 테이블 전기 문제 조치 3번 핑키,3,emergency,8번 테이블 전기 문제 조치합니다 ⚡,8
9 테이블 화재 대피 시작 4번 핑키,4,emergency,9번 테이블 손님 대피 시작합니다 🚒,9
10 테이블 대피 안내 방송 핑키들,"",emergency,10번 테이블 대피 안내 방송을 시작합니다 📢,10
1번 핑키 2 테이블에 물 서빙해줘,1,serving,2번 테이블로 시원한 물을 서빙하겠습니다 💧,2
2번 핑키 4 테이블에 음료 가져다줘,2,serving,4번 테이블로 음료를 빠르게 가져다드릴게요 🥤,4
3번 핑키 1 테이블에 샐러드 서빙해줘,3,serving,1번 테이블로 신선한 샐러드를 서빙합니다 🥗,1
핑키들 5 테이블에 메인 요리 서빙해줘,"",serving,5번 테이블로 메인 요리를 서빙하겠습니다 🍽️,5
4번 핑키 6 테이블에 디저트 나르기,4,serving,6번 테이블에 달콤한 디저트를 나르겠습니다 🍰,6
1번 핑키 3 테이블에 추가 주문 전달해줘,1,serving,3번 테이블 추가 주문을 전달하겠습니다 🛎️,3
2번 핑키 7 테이블에 맥주 서빙해줘,2,serving,7번 테이블로 시원한 맥주를 서빙합니다 🍺,7
3번 핑키 8 테이블에 와인 서빙해줘,3,serving,8번 테이블에 와인을 서빙하겠습니다 🍷,8
핑키야 9 테이블에 에피타이저 가져다줘,"",serving,9번 테이블로 에피타이저를 가져다드릴게요 🥟,9
4번 핑키 10 테이블에 추가 물 서빙,4,serving,10번 테이블에 추가 물을 서빙하겠습니다 💧,10
1 테이블에 생수 가져다줘 1번 핑키,1,serving,1번 테이블로 생수를 서빙하겠습니다 🚰,1
2 테이블에 커피 서빙해줘 2번 핑키,2,serving,2번 테이블로 따뜻한 커피를 서빙합니다 ☕,2
3 테이블에 티 서빙해 3번 핑키,3,serving,3번 테이블에 따뜻한 티를 가져다드릴게요 🍵,3
4 테이블에 탄산음료 전달 4번 핑키,4,serving,4번 테이블에 탄산음료를 전달합니다 🥤,4
5 테이블에 핫초코 서빙 핑키들,"",serving,5번 테이블에 따뜻한 핫초코를 서빙합니다 🍫,5
6 테이블에 아이스커피 서빙 1번 핑키,1,serving,6번 테이블에 시원한 아이스커피를 서빙합니다 ❄️,6
7 테이블에 에이드 가져다줘 2번 핑키,2,serving,7번 테이블에 에이드를 가져다드릴게요 🍹,7
8 테이블에 추가 음료 요청 3번 핑키,3,serving,8번 테이블 추가 음료를 준비합니다 🥤,8
9 테이블에 디저트 나르기 4번 핑키,4,serving,9번 테이블에 달콤한 디저트를 서빙합니다 🍰,9
10 테이블에 스테이크 서빙 핑키들,"",serving,10번 테이블로 스테이크를 서빙하겠습니다 🥩,10
1번 핑키 1 테이블에 감자튀김 서빙해줘,1,serving,1번 테이블에 바삭한 감자튀김을 서빙하겠습니다 🍟,1
2번 핑키 2 테이블에 피자 가져다줘,2,serving,2번 테이블에 따끈한 피자를 서빙합니다 🍕,2
3번 핑키 3 테이블에 파스타 서빙해,3,serving,3번 테이블로 맛있는 파스타를 가져다드릴게요 🍝,3
4번 핑키 4 테이블에 리필 음료 가져다줘,4,serving,4번 테이블로 음료를 리필해드리겠습니다 🥤,4
핑키들 5 테이블에 생과일주스 서빙,"",serving,5번 테이블로 생과일주스를 서빙하겠습니다 🍹,5
6 테이블에 추가 디저트 요청 1번 핑키,1,serving,6번 테이블에 추가 디저트를 가져다드릴게요 🍰,6
7 테이블에 아이스크림 서빙 2번 핑키,2,serving,7번 테이블에 시원한 아이스크림을 서빙합니다 🍨,7
8 테이블에 샐러드 리필 3번 핑키,3,serving,8번 테이블 샐러드를 리필해드리겠습니다 🥗,8
9 테이블에 치즈 플래터 서빙 4번 핑키,4,serving,9번 테이블로 치즈 플래터를 서빙하겠습니다 🧀,9
10 테이블에 스무디 서빙 핑키들,"",serving,10번 테이블에 스무디를 가져다드릴게요 🍹,10
1 테이블에 핫커피 리필 1번 핑키,1,serving,1번 테이블에 핫커피를 리필해드릴게요 ☕,1
2 테이블에 음료 추가 요청 2번 핑키,2,serving,2번 테이블 추가 음료를 준비합니다 🥤,2
3 테이블에 물 다시 서빙 3번 핑키,3,serving,3번 테이블에 물을 다시 서빙하겠습니다 💧,3
4 테이블에 추가 디저트 서빙 4번 핑키,4,serving,4번 테이블 추가 디저트를 서빙합니다 🍰,4
5 테이블에 에스프레소 서빙 핑키들,"",serving,5번 테이블에 에스프레소를 서빙하겠습니다 ☕,5
6 테이블에 맥주 추가 서빙 1번 핑키,1,serving,6번 테이블에 맥주를 추가로 서빙하겠습니다 🍺,6
7 테이블에 와인 추가 서빙 2번 핑키,2,serving,7번 테이블에 와인을 추가 서빙하겠습니다 🍷,7
8 테이블에 케이크 서빙 3번 핑키,3,serving,8번 테이블에 케이크를 서빙합니다 🍰,8
9 테이블에 핫티 서빙 4번 핑키,4,serving,9번 테이블에 따뜻한 티를 가져다드릴게요 🍵,9
10 테이블에 추가 스낵 가져다줘 핑키들,"",serving,10번 테이블에 추가 스낵을 서빙하겠습니다 🍪,10
